,name,followers,id,party
316,DonaldNorcross,8547,N000188,Democrat
317,RepRutherfordFL,3523,R000609,Republican
318,RepDavidYoung,13448,Y000066,Republican
319,reploucorrea,5902,C001110,Democrat
320,JAHimes,74934,H001047,Democrat
321,RepGuthrie,14820,G000558,Republican
322,SenSanders,7953947,S000033,Independent
323,RepCurbelo,19721,C001107,Republican
324,RepSeanDuffy,34790,D000614,Republican
325,RepBradWenstrup,20072,W000815,Republican
326,reptrey,7258,H001074,Republican
327,RepTerriSewell,32313,S001185,Democrat
328,RepShimkus,27938,S000364,Republican
329,SenatorTomUdall,159700,U000039,Democrat
330,RepKenBuck,18991,B001297,Republican
331,RepErikPaulsen,20556,P000594,Republican
332,RepAnnaEshoo,37655,E000215,Democrat
333,RepEspaillat,11239,E000297,Democrat
334,RepHolding,14395,H001065,Republican
335,RepKClark,56325,C001101,Democrat
336,RepEliotEngel,24833,E000179,Democrat
337,SenDonnelly,113858,D000607,Democrat
338,CongressmanGT,19323,T000467,Republican
339,RepWesterman,8509,W000821,Republican
340,RepGregoryMeeks,24560,M001137,Democrat
341,BobLatta,36104,L000566,Republican
342,JerryMoran,85385,M000934,Republican
343,RepWalberg,15604,W000798,Republican
344,RepKinzinger,41405,K000378,Republican
345,RepBrianHiggins,22781,H001038,Democrat
346,SenMikeLee,465889,L000577,Republican
347,RepBillFoster,42507,F000454,Democrat
348,RepAndreCarson,35514,C001072,Democrat
349,RepBobbyRush,15176,R000515,Democrat
350,CathyMcMorris,47087,M001159,Republican
351,staceyplaskett,5644,P000610,Democrat
352,RepJeffDuncan,55172,D000615,Republican
353,repcharliecrist,8300,C001111,Democrat
354,RepGeneGreen,18048,G000410,Democrat
355,RepBarbaraLee,194809,L000551,Democrat
356,RepBillJohnson,33505,J000292,Republican
357,RepDavidScott,18655,S001157,Democrat
358,RepDLesko,1264,L000589,Republican
359,SenBillNelson,367033,N000032,Democrat
360,RepDennisRoss,19976,R000593,Republican
361,RepJimBanks,6726,B001299,Republican
362,RepBrianBabin,10618,B001291,Republican
363,RepDavidEPrice,25775,P000523,Democrat
364,RepJohnDuncanJr,5976,D000533,Republican
365,RepFrenchHill,12540,H001072,Republican
366,MartinHeinrich,182598,H001046,Democrat
367,RepDanDonovan,6923,D000625,Republican
368,RepAlexMooney,7477,M001195,Republican
369,RepBillFlores,18479,F000461,Republican
370,RepYvetteClarke,45893,C001067,Democrat
371,BradSherman,39296,S000344,Democrat
372,teammoulton,7648,M001196,Democrat
373,RepDebDingell,35160,D000624,Democrat
374,RepMarciaFudge,32059,F000455,Democrat
375,Clyburn,58782,C000537,Democrat
376,RepGosar,43307,G000565,Republican
377,RepGregWalden,27312,W000791,Republican
378,SenatorCantwell,224975,C000127,Democrat
379,RepMoolenaar,9386,M001194,Republican
380,RepPeteOlson,9099,O000168,Republican
381,JeffFlake,672017,F000444,Republican
382,RepBost,8931,B001295,Republican
383,RepLarryBucshon,19203,B001275,Republican
384,RepMaloney,31077,M000087,Democrat
385,RepHultgren,20686,H001059,Republican
386,RepMarkPocan,75675,P000607,Democrat
387,NikiInTheHouse,22100,T000465,Democrat
388,RepConorLamb,3533,L000588,Democrat
389,RepSteveChabot,26581,C000266,Republican
390,RepTedBudd,6070,B001305,Republican
391,KeithEllison,370217,E000288,Democrat
392,sendavidperdue,55060,P000612,Republican
393,MazieHirono,299507,H001042,Democrat
394,RepJoseSerrano,25184,S000248,Democrat
395,SenatorCardin,240755,C000141,Democrat
396,RepDianeBlack,29561,B001273,Republican
397,RepRichardNeal,15787,N000015,Democrat
398,RepJoeWilson,12502,W000795,Republican
399,RepSamGraves,12467,G000546,Republican
400,SenBobCorker,389139,C001071,Republican
401,repmialove,36815,L000584,Republican
402,SenJohnHoeven,75077,H001061,Republican
403,RosaDeLauro,36507,D000216,Democrat
404,GOPLeader,189932,M001165,Republican
405,RepJasonLewis,9512,L000587,Republican
406,RepChrisStewart,17723,S001192,Republican
407,RepChrisSmith,21788,S000522,Republican
408,DorisMatsui,31997,M001163,Democrat
409,SenSasse,133047,S001197,Republican
410,RepRichmond,26784,R000588,Democrat
411,SenRobPortman,131646,P000449,Republican
412,NitaLowey,26361,L000480,Democrat
413,RepLeeZeldin,55061,Z000017,Republican
414,SenToddYoung,38614,Y000064,Republican
415,RepRalphNorman,3100,N000190,Republican
416,RepJackBergman,5737,B001301,Republican
417,reptrentkelly,8519,K000388,Republican
418,reppeteaguilar,9311,A000371,Democrat
419,SenCoryGardner,104803,G000562,Republican
420,RepLBR,7610,B001303,Democrat
421,ChrisVanHollen,136736,V000128,Democrat
422,RepAnnWagner,19143,W000812,Republican
423,repschneider,8028,S001190,Democrat
424,SenatorLankford,68825,L000575,Republican
425,BillPascrell,34822,P000096,Democrat
426,RepTomGraves,18805,G000560,Republican
427,SenShelby,74304,S000320,Republican
428,RepAdamSchiff,1057718,S001150,Democrat
429,SusanWBrooks,18914,B001284,Republican
430,TGowdySC,932449,G000566,Republican
431,RepLynnJenkins,23517,J000290,Republican
432,PattyMurray,421510,M001111,Democrat
433,RepZoeLofgren,36199,L000397,Democrat
434,RepKihuen,11264,K000390,Democrat
435,RepLoisFrankel,24197,F000462,Democrat
436,RepAdamSmith,28575,S000510,Democrat
437,sencortezmasto,30731,C001113,Democrat
438,repohalleran,9163,O000171,Democrat
439,RepJimRenacci,30538,R000586,Republican
440,SenRubioPress,56933,R000595,Republican
441,USRepKeating,13994,K000375,Democrat
442,RepTimWalz,28403,W000799,Democrat
443,SenBlumenthal,525929,B001277,Democrat
444,SamsPressShop,11533,J000174,Republican
445,WhipHoyer,105269,H000874,Democrat
446,SenWhitehouse,290868,W000802,Democrat
447,FrankPallone,29668,P000034,Democrat
448,USRepRodney,14440,F000372,Republican
449,JimLangevin,22108,L000559,Democrat
450,USRepKCastor,14330,C001066,Democrat
451,SenatorEnzi,78811,E000285,Republican
452,reprickallen,14151,A000372,Republican
453,RepLawrence,12149,L000581,Democrat
454,SenAngusKing,201564,K000383,Independent
455,RepLaMalfa,15689,L000578,Republican
456,NydiaVelazquez,43663,V000081,Democrat
457,SenDuckworth,511500,D000622,Democrat
458,RepCohen,50177,C001068,Democrat
459,SenatorBurr,136122,B001135,Republican
460,TomRooney,22963,R000583,Republican
461,SpeakerRyan,3650484,R000570,Republican
462,RepTomMarino,21590,M001179,Republican
463,RepMimiWalters,13042,W000820,Republican
464,RepMarkMeadows,181385,M001187,Republican
465,Jim_Jordan,347689,J000289,Republican
466,SenTedCruz,1141941,C001098,Republican
467,RepLouieGohmert,165174,G000552,Republican
468,Call_Me_Dutch,14305,R000576,Democrat
469,repraskin,31458,R000606,Democrat
470,RepCicilline,20422,C001084,Democrat
471,GreggHarper,28502,H001045,Republican
472,repdavidkustoff,6644,K000392,Republican
473,SenPatRoberts,62223,R000307,Republican
474,RepBeatty,29885,B001281,Democrat
475,RepMcEachin,5869,M001200,Democrat
476,RepDavidValadao,16997,V000129,Republican
477,MacTXPress,13988,T000238,Republican
478,RepKristiNoem,27817,N000184,Republican
479,SenFeinstein,1247639,F000062,Democrat
480,drnealdunnfl2,5228,D000628,Republican
481,JanSchakowsky,37489,S001145,Democrat
482,JohnBoozman,72248,B001236,Republican
483,RepDLamborn,18173,L000564,Republican
484,RepChrisCollins,18653,C001092,Republican
485,SenJohnBarrasso,100867,B001261,Republican
486,RepAnthonyBrown,10463,B001304,Democrat
487,RepRichHudson,15575,H001067,Republican
488,RepStephenLynch,19154,L000562,Democrat
489,RepCartwright,10487,C001090,Democrat
490,SenatorTester,92603,T000464,Democrat
491,RepJoeBarton,27691,B000213,Republican
492,repkhandel,2082,H001078,Republican
493,KeithRothfus,10701,R000598,Republican
494,RepCleaver,36782,C001061,Democrat
495,MikeKellyPA,12861,K000376,Republican
496,TomColeOK04,20783,C001053,Republican
497,RepHuizenga,18464,H001058,Republican
498,SenatorHeitkamp,113435,H001069,Democrat
499,RepGonzalez,3295,G000581,Democrat
500,SenKamalaHarris,532179,H001075,Democrat
501,RepAdrianSmith,11354,S001172,Republican
502,SanfordBishop,17970,B000490,Democrat
503,RepKarenBass,87295,B001270,Democrat
504,RepHanabusa,11968,H001050,Democrat
505,VirginiaFoxx,22298,F000450,Republican
506,RepTomGarrett,6223,G000580,Republican
507,SenBobCasey,412955,C001070,Democrat
508,RepLipinski,12280,L000563,Democrat
509,SenHydeSmith,3658,H001079,Republican
510,RepLindaSanchez,30829,S001156,Democrat
511,RepMcKinley,29282,M001180,Republican
512,RepCarbajal,7085,C001112,Democrat
513,RepScottPeters,22401,P000608,Democrat
514,BennieGThompson,9744,T000193,Democrat
515,DaveReichert,21100,R000578,Republican
516,MarshaBlackburn,66282,B001243,Republican
517,SenToomey,122142,T000461,Republican
518,JudgeTedPoe,33851,P000592,Republican
519,RepHuffman,27116,H001068,Democrat
520,CongMikeSimpson,15076,S001148,Republican
521,RepTomReed,15839,R000585,Republican
522,RepScottTaylor,5002,T000477,Republican
